d,d2,d3,d4,d5,d6,exp
-0.3662685302431965,-0.3662685302431965,-0.2327250152128888,-0.3016501697154518,-0.2321383999073197,-0.30027603217893567,0.0
-0.6359705428745447,-0.6774509074509544,-0.48748439978001473,-0.5434238918842391,-0.5096949032011735,-0.570871293262379,2.0
0.7172051146664564,0.7172051146664564,0.6693115853884681,0.6880142668863818,0.669060802212204,0.6876139697599133,1.0
-0.319715868045029,-0.28295100159311765,-0.23601593624066083,-0.26267819265551234,-0.19595105190762033,-0.22061493460961454,0.0
0.024356576416729163,0.024356576416729163,0.05527822291430509,0.033310374208939064,0.05545694661387222,0.033768479480090735,2.0
-0.3731922017672595,-0.3731922017672595,-0.2557602152137634,-0.340387832761797,-0.2551407170421794,-0.3387101798296908,-3.0
0.8269844647838595,0.8269844647838595,0.8199081527313725,0.793641812595417,0.8200761434686554,0.7942963739125334,-1.0
-0.33835349377595036,-0.33835349377595036,-0.32609167263184563,-0.34640515751411477,-0.32591794966651827,-0.34605337710256684,1.0
-0.40453122373194006,-0.40453122373194006,-0.28459103391585033,-0.3581406357695818,-0.283973490851715,-0.3566694760966895,-2.0
0.3821215894969773,0.3821215894969773,0.3821215894969773,0.3821215894969773,0.3821215894969773,0.3821215894969773,3.0
0.2158084177316847,0.2158084177316847,0.16821993673438843,0.15566559470002825,0.16829554105074188,0.15589278545716873,-2.0
0.007596504004882638,-0.0049062822714974075,0.013295899184692525,0.011263344791016915,0.0016254932819982813,-0.0010002575975137894,3.0
-0.17254036947483786,-0.1461252025279668,-0.16279336540784584,-0.16488381861137894,-0.13772317668811612,-0.13868032662306193,-2.0
0.35267889873622404,0.3944526828521082,0.3869884162307621,0.3667065663184499,0.425479578253722,0.40975600093159664,0.0
0.13132141558226543,0.05612097949100466,0.20428746098218134,0.3088070971198537,0.11541064734855301,0.22469341282878155,-1.0
0.228814247254876,0.2651326477921052,0.2841560725063058,0.23293705514478666,0.3200821146449522,0.2704631240069241,1.0
-0.27413380426654593,-0.25672387782284967,-0.08178958734177032,-0.1735612642862693,-0.06682668212182484,-0.15474763863612545,-2.0
0.06460886555986314,0.06460886555986314,-0.18577693826715885,-0.07828768228779087,-0.1866439298062606,-0.08166188411197163,-2.0
-0.6122861338711728,-0.6122861338711728,-0.48828289943013886,-0.5859761372905593,-0.4874969537417698,-0.5838889616582653,-3.0
0.5876713110262688,0.5876713110262688,0.5564644798667254,0.5840297316212893,0.5561289251656321,0.583471551758594,2.0
0.16323463498338778,0.16323463498338778,0.15184229196432988,0.1384451488514043,0.15187488246866204,0.13869606525237269,-2.0
-0.2592338528912134,-0.2592338528912134,-0.3050635849397965,-0.27963597853556665,-0.30526733844243537,-0.2803753444616747,-3.0
-0.7329153653711623,-0.7329153653711623,-0.6137085295834764,-0.667766228463585,-0.6132193452677639,-0.6667560817239326,-3.0
-0.4937710099930116,-0.4937710099930116,-0.5066160947806658,-0.47115343611345645,-0.5068435148669039,-0.47269177232674775,-1.0
0.7734702189923965,0.8393904610613265,0.6443212518878215,0.7006352631641095,0.6875210856838422,0.7562088706092064,-3.0
0.21851661302337178,0.21851661302337178,0.2249244096434113,0.2168964228479305,0.22494108364199888,0.21700730325931614,1.0
0.32258369465469566,0.32258369465469566,0.30638635947362974,0.3381907998753331,0.3060195083216104,0.33738492730691727,3.0
-0.3095446411781122,-0.3095446411781122,-0.2961971948933898,-0.30385134921839135,-0.2961335092669006,-0.3037748901984453,-2.0
0.14241196630814193,0.14241196630814193,0.11573072378334197,0.07775609395700966,0.11603949560551803,0.07854828417509051,1.0
-0.05979775694668658,-0.21455860695289247,0.1457162984117383,0.12125452992368575,0.028101343309049134,-0.014460270222356538,-1.0
