d,d2,d3,d4,d5,d6,exp,sstot
-0.7370356251851548,-0.7370356251851548,-0.6939573079130217,-0.7470833578516535,-0.6932493608288846,-0.7461481620588283,-3.0,True
0.3089248000707188,0.3089248000707188,0.2831559933536512,0.2728069486087393,0.2832657735039166,0.27312885429036193,1.0,True
-0.18395274313579987,-0.18395274313579987,-0.19565965751900094,-0.18223428241992198,-0.1957777105680557,-0.1825110423959164,0.0,True
-0.6646151644340813,-0.6646151644340813,-0.38043494596700655,-0.50943327733776,-0.37933800477798557,-0.5058673233797651,-3.0,True
0.14458851845168832,0.12344001020804447,-0.14724172927781512,-0.016926664212277984,-0.17420218726484812,-0.04895478491400399,0.0,True
0.5425240816247915,0.5425240816247915,0.28535581360592177,0.4139394810184624,0.2842772881302983,0.4113451674452582,2.0,True
0.3865451876702923,0.3865451876702923,0.3772126450830506,0.3805107939044283,0.37713762378659244,0.38071762619817967,3.0,True
0.3651119906062724,0.3651119906062724,0.2704080247990621,0.3836552984079232,0.2695193312900814,0.38130885620189675,3.0,True
0.20183104249463504,0.20183104249463504,0.11287287760075285,0.06630572948123589,0.11329488850490847,0.06742820104913164,0.0,True
-0.2877149814633401,-0.2877149814633401,-0.35332091035649704,-0.34537139340019524,-0.3532438435783515,-0.34566655829278875,0.0,True
-0.4513329184241154,-0.4513329184241154,-0.5351241505331049,-0.48934669035351225,-0.5354070213601217,-0.4905697769468204,-1.0,True
-0.5039138115870075,-0.48844691715539074,-0.31674810493664074,-0.40706552233082055,-0.3002134037011115,-0.38883006001566994,-2.0,True
-0.05123316776096838,-0.05123316776096838,-0.003887602860216136,-0.039155135766154474,-0.0034967973769461733,-0.03825583096087976,0.0,True
0.6047012298996396,0.6047012298996396,0.5365083556883042,0.5408841182376735,0.5364153139469787,0.5412985997671224,2.0,True
0.7264858283462119,0.7264858283462119,0.5873644902608853,0.5100258032798304,0.5881106611321912,0.5118809263065467,3.0,True
-0.6379285237347747,-0.6379285237347747,-0.5583736134287218,-0.6107524723271726,-0.5577428492319898,-0.6095293940300307,-3.0,True
-0.3239576240240642,-0.3239576240240642,-0.2561498528599912,-0.2805173488132924,-0.25583127369299263,-0.27998399876142155,1.0,True
0.1297654747689017,0.10212577150315756,-0.006052448041079211,0.024910824280606796,-0.04053929512083968,-0.008336336891714074,2.0,True
0.9109607931457178,0.9109607931457178,1.0820181852753414,1.063227141652448,1.0820939443859663,1.0638875996956902,1.0,True
-0.6181648932870056,-0.6181648932870056,-0.6774746199324995,-0.7192846120722427,-0.6769806844571306,-0.7184536676552747,-2.0,True
-0.14649365732570255,-0.12014419926166131,-0.08334198574529769,-0.08634403615762325,-0.056678393293432945,-0.05407180010844085,0.0,True
-0.6104381543294243,-0.6104381543294243,-0.5640082362906248,-0.6059393356956123,-0.5634129850827934,-0.6051045986249858,3.0,True
0.4772369941964916,0.4772369941964916,0.32016896755049706,0.2746785956406494,0.3206171523087916,0.2757370791842933,2.0,True
-1.0450053617475563,-1.0450053617475563,-0.9949860276977218,-1.0459676301320393,-0.9942847391608676,-1.0452664176415587,-3.0,True
-0.3075161316357836,-0.3075161316357836,-0.2236051708516804,-0.22214920452981235,-0.22351396933408432,-0.2221468863809973,1.0,True
-0.2505014684696583,-0.2798315714238633,-0.2452815796112597,-0.2455912870439911,-0.27022370736200696,-0.27444452237656564,-3.0,True
0.5507838243152127,0.5507838243152127,0.5794131237634641,0.6068118803213304,0.5791187783595523,0.6068750382791489,3.0,True
-0.013888390989068617,-0.013888390989068617,0.03732675279184866,0.011734960636569225,0.0375967081964333,0.012572370285703334,2.0,True
-0.6621445232466854,-0.6621445232466854,-0.7100229773187015,-0.6588116247863999,-0.7102931471868507,-0.6602966648411196,0.0,True
